Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type,Location of Breached Information,Business Associate Present,Breach Submission Time,Breach Submission Datetime,Year,,
"Wichita Urology Group, PA (“WUG”)",KS,Healthcare Provider,1493,3/8/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/8/2023 0:00,2023,,9
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,3/6/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/6/2023 0:00,2023,,
Codman Square Health Center,MA,Healthcare Provider,10161,3/1/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,3/1/2023 0:00,2023,,
"Cerebral, Inc",DE,Business Associate,3179835,3/1/2023,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,3/1/2023 0:00,2023,,
Clarity Child Guidance Center,TX,Health Plan,531,2/28/2023,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,2/28/2023 0:00,2023,,
Sentara Healthcare,VA,Healthcare Provider,741,2/24/2023,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,2/24/2023 0:00,2023,,
Asante,OR,Healthcare Provider,8834,2/24/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,2/24/2023 0:00,2023,,
Aloha Nursing Rehab Centre,HI,Healthcare Provider,20216,2/24/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/24/2023 0:00,2023,,
"eMDs, Inc.",TX,Business Associate,625,2/24/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/24/2023 0:00,2023,,
White Bird Clinic,OR,Healthcare Provider,584,2/23/2023,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,2/23/2023 0:00,2023,,
Lawrence General Hospital,MA,Healthcare Provider,76571,2/23/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/23/2023 0:00,2023,,
Henrico Doctors Hospital,VA,Healthcare Provider,990,2/21/2023,Unauthorized Access/Disclosure,Email,No,12:00:00 AM,2/21/2023 0:00,2023,,
Sharp Healthcare,CA,Healthcare Provider,62777,2/17/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/17/2023 0:00,2023,,
West Cecil Health Center,MD,Healthcare Provider,1136,2/17/2023,Unauthorized Access/Disclosure,Network Server,Yes,12:00:00 AM,2/17/2023 0:00,2023,,
Jackson Lewis P.C.,CA,Business Associate,986,2/17/2023,Theft,Other Portable Electronic Device,Yes,12:00:00 AM,2/17/2023 0:00,2023,,
Troy Roeder DDS PC,IL,Healthcare Provider,500,2/17/2023,Unauthorized Access/Disclosure,Desktop Computer,No,12:00:00 AM,2/17/2023 0:00,2023,,
San Juan Regional Medical Center,NM,Healthcare Provider,8500,2/15/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/15/2023 0:00,2023,,
Integrative Dentistry,WA,Healthcare Provider,2281,2/14/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/14/2023 0:00,2023,,
"Reventics, LLC",FL,Business Associate,250918,2/10/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/10/2023 0:00,2023,,
"CentraState Healthcare System, Inc.",NJ,Healthcare Provider,617901,2/10/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/10/2023 0:00,2023,,
Intelligent Business Solutions,NC,Business Associate,11595,2/10/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/10/2023 0:00,2023,,
Compass Behavioral Health,KS,Healthcare Provider,537,2/10/2023,Hacking/IT Incident,Email,No,12:00:00 AM,2/10/2023 0:00,2023,,
Highmark Inc,PA,Business Associate,36600,2/10/2023,Hacking/IT Incident,Email,Yes,12:00:00 AM,2/10/2023 0:00,2023,,
Evergreen Treatment Services,WA,Healthcare Provider,21325,2/10/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/10/2023 0:00,2023,,
Highmark Inc,PA,Health Plan,239039,2/10/2023,Hacking/IT Incident,Email,No,12:00:00 AM,2/10/2023 0:00,2023,,
Wentworth Health Partners Garrison Women's Health,NH,Healthcare Provider,4158,2/10/2023,Hacking/IT Incident,Electronic Medical Record,Yes,12:00:00 AM,2/10/2023 0:00,2023,,
CVS Specialty,RI,Healthcare Provider,740,2/10/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,12:00:00 AM,2/10/2023 0:00,2023,,
Nelson Pharmacy Consulting Services PLC,IA,Healthcare Provider,500,2/10/2023,Hacking/IT Incident,"Desktop Computer, Network Server",No,12:00:00 AM,2/10/2023 0:00,2023,,
"Cheyenne Radiology Group & MRI, P.C.",WY,Healthcare Provider,500,2/9/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/9/2023 0:00,2023,,
"Tattnall County, Georgia",GA,Healthcare Provider,1337,2/9/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/9/2023 0:00,2023,,
Health Benefit Plan of Bridgewater-Raritan Regional School District,NJ,Health Plan,3909,2/9/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/9/2023 0:00,2023,,
"90 Degree Benefits, Inc.",WI,Business Associate,175000,2/8/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/8/2023 0:00,2023,,
"NR Pennsylvania Associates, LLC",PA,Healthcare Provider,14335,2/7/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/7/2023 0:00,2023,,
"NR Connecticut, LLC",CT,Healthcare Provider,2160,2/7/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/7/2023 0:00,2023,,
Teijin Automotive Technologies Welfare Plan,MI,Health Plan,25464,2/6/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/6/2023 0:00,2023,,
"Skin MD, PLLC",TN,Healthcare Provider,7558,2/6/2023,Improper Disposal,Paper/Films,No,12:00:00 AM,2/6/2023 0:00,2023,,
"Vitra Health, Inc.",MA,Healthcare Provider,1618,2/6/2023,Hacking/IT Incident,Email,No,12:00:00 AM,2/6/2023 0:00,2023,,
"Center for Autism and Related Disorders, LLC",TX,Healthcare Provider,634,2/4/2023,Unauthorized Access/Disclosure,Paper/Films,No,12:00:00 AM,2/4/2023 0:00,2023,,
"Rise Interactive Media & Analytics, LLC",IL,Business Associate,54509,2/3/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,2/3/2023 0:00,2023,,
Cardiovascular Associates,AL,Healthcare Provider,441640,2/3/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/3/2023 0:00,2023,,
Southeast Colorado Hospital District,CO,Healthcare Provider,1435,2/3/2023,Hacking/IT Incident,Email,No,12:00:00 AM,2/3/2023 0:00,2023,,
Hospice of the Valley,AZ,Healthcare Provider,3840,2/3/2023,Hacking/IT Incident,Email,No,12:00:00 AM,2/3/2023 0:00,2023,,
"UT Specialty Dental Services, PLLC d/b/a Aspire Surgical",UT,Healthcare Provider,5327,2/2/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/2/2023 0:00,2023,,
"Arizona Health Advantage, Inc. d/b/a Arizona Priority Care; AZPC Clinics, LLC; and the health plans for which APC has executed a BAA, listed below",AZ,Healthcare Provider,10978,2/1/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/1/2023 0:00,2023,,
"Regal Medical Group,Inc.,Lakeside Medical Organization,A Medical Group,Inc.,ADOC Acquisition Co.,A Medical Group Inc.&Greater Covina Medical Group,Inc",CA,Healthcare Provider,3300638,2/1/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,2/1/2023 0:00,2023,,
Institute for Hormonal Balance,TX,Healthcare Provider,597,1/31/2023,Theft,"Other, Paper/Films",No,12:00:00 AM,1/31/2023 0:00,2023,,
Brooks Rehabilitation,FL,Healthcare Provider,1554,1/31/2023,Unauthorized Access/Disclosure,Other,No,12:00:00 AM,1/31/2023 0:00,2023,,
DotHouse Health Incorporated,MA,Healthcare Provider,10000,1/27/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/27/2023 0:00,2023,,
"Benefit Administrative Systems, LLC (BAS)",IL,Business Associate,6465,1/27/2023,Hacking/IT Incident,Network Server,Yes,12:00:00 AM,1/27/2023 0:00,2023,,
Cedar Oaks Surgery Center,MO,Healthcare Provider,794,1/27/2023,Hacking/IT Incident,Email,No,12:00:00 AM,1/27/2023 0:00,2023,,
Stroke Scan Inc,TX,Healthcare Provider,50000,1/27/2023,Hacking/IT Incident,Desktop Computer,No,12:00:00 AM,1/27/2023 0:00,2023,,
Minuteman Senior Services,MA,Healthcare Provider,500,1/27/2023,Hacking/IT Incident,Email,No,12:00:00 AM,1/27/2023 0:00,2023,,
Hayward Sisters Hospital d/b/a St. Rose Hospital,CA,Healthcare Provider,501,1/27/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/27/2023 0:00,2023,,
Howard Memorial Hospital,AR,Healthcare Provider,53668,1/27/2023,Hacking/IT Incident,Network Server,No,12:00:00 AM,1/27/2023 0:00,2023,,
"Valley Care Home Health Services, Inc.",CA,Healthcare Provider,2674,1/25/2023,Theft,Other Portable Electronic Device,No,12:00:00 AM,1/25/2023 0:00,2023,,
"AppleCare, LLC",GA,Healthcare Provider,512,1/23/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,1/23/2023 0:00,2023,,
"Peachtree Immediate Care FP, LLC",GA,Healthcare Provider,2555,1/23/2023,Unauthorized Access/Disclosure,Paper/Films,Yes,12:00:00 AM,1/23/2023 0:00,2023,,
City of Cleveland,OH,Health Plan,15206,1/20/2023,Unauthorized Access/Disclosure,Network Server,No,12:00:00 AM,1/20/2023 0:00,2023,,
DCH Health System,AL,Healthcare Provider,2530,1/20/2023,Unauthorized Access/Disclosure,Desktop Computer,No,12:00:00 AM,1/20/2023 0:00,2023,,
"Chico Immediate Care Medical Center, Inc.",CA,Healthcare Provider,3780,1/19/2023,Unauthorized Access/Disclosure,Electronic Medical Record,No,12:00:00 AM,1/19/2023 0:00,2023,,
